HASC_2,Max,Mean,Min
US.LA.CC,0.00019441907352302223,7.776763110693234e-06,0.0
US.LA.CW,0.00034020369639620185,2.449561608955264e-05,0.0
US.LA.CM,0.0,0.0,0.0
US.LA.CT,0.0,0.0,0.0
US.LA.CI,0.0,0.0,0.0
US.LA.CR,0.0,0.0,0.0
US.LA.DE,0.0,0.0,0.0
US.LA.EB,0.0,0.0,0.0
US.LA.EC,0.0,0.0,0.0
US.LA.EF,0.0,0.0,0.0
US.LA.EV,0.0,0.0,0.0
US.LA.FR,0.0,0.0,0.0
US.LA.GR,0.0,0.0,0.0
US.LA.II,0.0,0.0,0.0
US.LA.IV,0.0,0.0,0.0
US.LA.JA,6.804667646065354e-05,2.2682225486884516e-06,0.0
US.LA.JF,0.0,0.0,0.0
US.LA.JD,0.0,0.0,0.0
US.LA.LA,0.0,0.0,0.0
US.LA.LY,0.0,0.0,0.0
US.LA.LO,0.0,0.0,0.0
US.LA.LN,0.0,0.0,0.0
US.LA.LV,0.0,0.0,0.0
US.LA.MA,0.0,0.0,0.0
US.LA.MO,0.0,0.0,0.0
US.LA.NA,0.001555555616505444,7.394518696754758e-05,0.0
US.LA.OR,0.0,0.0,0.0
US.LA.OU,0.0010534999892115593,0.00012561659483859935,0.0
US.LA.PL,0.0,0.0,0.0
US.LA.PO,0.0,0.0,0.0
US.LA.RA,0.0,0.0,0.0
US.LA.RE,0.0,0.0,0.0
US.LA.RI,0.0,0.0,0.0
US.LA.SB,0.0,0.0,0.0
US.LA.SE,0.0,0.0,0.0
US.LA.SC,0.0,0.0,0.0
US.LA.SH,0.0,0.0,0.0
US.LA.SJ,0.0,0.0,0.0
US.LA.SO,0.0,0.0,0.0
US.LA.SL,0.0,0.0,0.0
US.LA.SR,0.0,0.0,0.0
US.LA.SM,0.0,0.0,0.0
US.LA.ST,0.0,0.0,0.0
US.LA.TA,0.0,0.0,0.0
US.LA.TN,0.0,0.0,0.0
US.LA.TR,0.0,0.0,0.0
US.LA.UN,0.001555555616505444,0.00014558988955936262,0.0
US.LA.VM,0.0,0.0,0.0
US.LA.VN,0.00034020369639620185,1.3860810280743021e-05,0.0
US.LA.WO,0.0,0.0,0.0
US.LA.WR,0.0,0.0,0.0
US.LA.WB,0.0,0.0,0.0
US.LA.WC,0.0,0.0,0.0
US.LA.WF,0.0,0.0,0.0
US.LA.WI,0.001555555616505444,0.00010751761437859386,0.0
US.ME.AN,0.12218791991472244,0.014885483185588825,0.0
US.ME.AR,0.2201250046491623,0.02087889275688845,0.0
US.ME.CU,0.133135125041008,0.013986925580866227,0.0
US.ME.FR,0.25876757502555847,0.0330035544275933,0.0
US.ME.HA,0.31474635004997253,0.019386932291256796,0.0
US.ME.KE,0.0981670692563057,0.010885087189048395,0.0
US.ME.KN,0.24372175335884094,0.033955561725971556,0.0
US.ME.LI,0.16547028720378876,0.0263850076460383,0.0
US.ME.OX,0.3306601643562317,0.03991574429055618,0.0
